,team,sketch_title,writer,link,writer_clean
1412,Onassis,02 Obama's Chest Onassis 4 2 12,No writer,https://www.youtube.com/watch?v=wjgGO4GCq5o,No
1413,Onassis,02 Pussy Onassis 3 5 12,No writer,https://www.youtube.com/watch?v=duZIQC35CMo,No
1414,Onassis,02 Shawl Onassis 2 6 12,No writer,https://www.youtube.com/watch?v=T7JUdZxlUXo,No
1415,Onassis,03 Conference Call Onassis 6. 4. 12,Written by: Jason Saenz,https://www.youtube.com/watch?v=on7dlTUlU3I,Jason Saenz
1416,Onassis,03 Half Time Onassis 2 6 12,No writer,https://www.youtube.com/watch?v=bvfqjtwQJXI,No
1417,Onassis,03 Pulp Fiction Ogrampssis 4 30 12,No writer,https://www.youtube.com/watch?v=I8GF-VaGMu4,No
1418,Onassis,04 3 Strikes Onassis 2 6 12,No writer,https://www.youtube.com/watch?v=l923U5HCe68,No
1419,Onassis,04 Chickpeas Onassis 3 5 12,No writer,https://www.youtube.com/watch?v=r356bVM7hlw,No
1420,Onassis,04 Dr  Von Travers Onassis 4 2 12,No writer,https://www.youtube.com/watch?v=VSfPQWQJY7g,No
1421,Onassis,05 Bowl Cut Onassis 3 5 12,No writer,https://www.youtube.com/watch?v=WY-wYWUzuJA,No
1422,Onassis,05 Eyebrows Onassis 6 4 12,No writer,https://www.youtube.com/watch?v=uwasBMjoqng,No
1423,Onassis,05 Highway Adoption Onassis 4 2 12,No writer,https://www.youtube.com/watch?v=i0r8I5ZUEUI,No
